province_territory,claim_office_type,total_flag,year_month,year,month,value
Yukon,Border,False,2015-05,2015,5,0
,Border - Total,True,2015-05,2015,5,300
Newfoundland and Labrador,Inland,False,2015-05,2015,5,0
Prince Edward Island,Inland,False,2015-05,2015,5,0
Nova Scotia,Inland,False,2015-05,2015,5,10
New Brunswick,Inland,False,2015-05,2015,5,0
Quebec,Inland,False,2015-05,2015,5,95
Ontario,Inland,False,2015-05,2015,5,460
Manitoba,Inland,False,2015-05,2015,5,5
Saskatchewan,Inland,False,2015-05,2015,5,0
Alberta,Inland,False,2015-05,2015,5,30
British Columbia,Inland,False,2015-05,2015,5,35
Yukon,Inland,False,2015-05,2015,5,0
Northwest Territories,Inland,False,2015-05,2015,5,0
Nunavut,Inland,False,2015-05,2015,5,0
Province/Territory of claim not stated,Inland,False,2015-05,2015,5,0
,Inland - Total,True,2015-05,2015,5,640
,Other Offices,False,2015-05,2015,5,0
,Total ,True,2015-05,2015,5,1165
Newfoundland and Labrador,Airport,False,2015-06,2015,6,0
Nova Scotia,Airport,False,2015-06,2015,6,0
New Brunswick,Airport,False,2015-06,2015,6,0
Quebec,Airport,False,2015-06,2015,6,30
Ontario,Airport,False,2015-06,2015,6,215
Manitoba,Airport,False,2015-06,2015,6,0
Saskatchewan,Airport,False,2015-06,2015,6,0
Alberta,Airport,False,2015-06,2015,6,0
British Columbia,Airport,False,2015-06,2015,6,5
Nunavut,Airport,False,2015-06,2015,6,0
,Airport - Total,True,2015-06,2015,6,250
Newfoundland and Labrador,Border,False,2015-06,2015,6,0
Nova Scotia,Border,False,2015-06,2015,6,0
New Brunswick,Border,False,2015-06,2015,6,0
Quebec,Border,False,2015-06,2015,6,80
Ontario,Border,False,2015-06,2015,6,225
Manitoba,Border,False,2015-06,2015,6,20
Saskatchewan,Border,False,2015-06,2015,6,0
Alberta,Border,False,2015-06,2015,6,5
British Columbia,Border,False,2015-06,2015,6,5
Yukon,Border,False,2015-06,2015,6,0
,Border - Total,True,2015-06,2015,6,335
Newfoundland and Labrador,Inland,False,2015-06,2015,6,0
Prince Edward Island,Inland,False,2015-06,2015,6,0
Nova Scotia,Inland,False,2015-06,2015,6,2
New Brunswick,Inland,False,2015-06,2015,6,2
Quebec,Inland,False,2015-06,2015,6,140
Ontario,Inland,False,2015-06,2015,6,495
Manitoba,Inland,False,2015-06,2015,6,2
Saskatchewan,Inland,False,2015-06,2015,6,5
Alberta,Inland,False,2015-06,2015,6,60
British Columbia,Inland,False,2015-06,2015,6,35
Yukon,Inland,False,2015-06,2015,6,0
Northwest Territories,Inland,False,2015-06,2015,6,0
Nunavut,Inland,False,2015-06,2015,6,0
Province/Territory of claim not stated,Inland,False,2015-06,2015,6,0
,Inland - Total,True,2015-06,2015,6,740
,Other Offices,False,2015-06,2015,6,0
,Total ,True,2015-06,2015,6,1325
Newfoundland and Labrador,Airport,False,2015-07,2015,7,0
Nova Scotia,Airport,False,2015-07,2015,7,0
New Brunswick,Airport,False,2015-07,2015,7,0
Quebec,Airport,False,2015-07,2015,7,35
Ontario,Airport,False,2015-07,2015,7,105
Manitoba,Airport,False,2015-07,2015,7,0
Saskatchewan,Airport,False,2015-07,2015,7,0
Alberta,Airport,False,2015-07,2015,7,10
British Columbia,Airport,False,2015-07,2015,7,5
Nunavut,Airport,False,2015-07,2015,7,0
,Airport - Total,True,2015-07,2015,7,155
Newfoundland and Labrador,Border,False,2015-07,2015,7,0
Nova Scotia,Border,False,2015-07,2015,7,0
New Brunswick,Border,False,2015-07,2015,7,0
Quebec,Border,False,2015-07,2015,7,105
Ontario,Border,False,2015-07,2015,7,275
Manitoba,Border,False,2015-07,2015,7,20
Saskatchewan,Border,False,2015-07,2015,7,2
Alberta,Border,False,2015-07,2015,7,2
British Columbia,Border,False,2015-07,2015,7,10
Yukon,Border,False,2015-07,2015,7,0
,Border - Total,True,2015-07,2015,7,410
Newfoundland and Labrador,Inland,False,2015-07,2015,7,0
Prince Edward Island,Inland,False,2015-07,2015,7,0
Nova Scotia,Inland,False,2015-07,2015,7,2
New Brunswick,Inland,False,2015-07,2015,7,0
Quebec,Inland,False,2015-07,2015,7,150
Ontario,Inland,False,2015-07,2015,7,510
Manitoba,Inland,False,2015-07,2015,7,5
Saskatchewan,Inland,False,2015-07,2015,7,2
Alberta,Inland,False,2015-07,2015,7,60
British Columbia,Inland,False,2015-07,2015,7,70
Yukon,Inland,False,2015-07,2015,7,0
Northwest Territories,Inland,False,2015-07,2015,7,0
Nunavut,Inland,False,2015-07,2015,7,0
Province/Territory of claim not stated,Inland,False,2015-07,2015,7,0
,Inland - Total,True,2015-07,2015,7,800
,Other Offices,False,2015-07,2015,7,0
,Total ,True,2015-07,2015,7,1365
Newfoundland and Labrador,Airport,False,2015-08,2015,8,0
Nova Scotia,Airport,False,2015-08,2015,8,2
New Brunswick,Airport,False,2015-08,2015,8,0
Quebec,Airport,False,2015-08,2015,8,20
Ontario,Airport,False,2015-08,2015,8,95
Manitoba,Airport,False,2015-08,2015,8,0
Saskatchewan,Airport,False,2015-08,2015,8,0
Alberta,Airport,False,2015-08,2015,8,2
British Columbia,Airport,False,2015-08,2015,8,10
Nunavut,Airport,False,2015-08,2015,8,0
,Airport - Total,True,2015-08,2015,8,130
Newfoundland and Labrador,Border,False,2015-08,2015,8,0
Nova Scotia,Border,False,2015-08,2015,8,0
New Brunswick,Border,False,2015-08,2015,8,0
Quebec,Border,False,2015-08,2015,8,135
Ontario,Border,False,2015-08,2015,8,255
Manitoba,Border,False,2015-08,2015,8,40
Saskatchewan,Border,False,2015-08,2015,8,0
Alberta,Border,False,2015-08,2015,8,5
British Columbia,Border,False,2015-08,2015,8,20
Yukon,Border,False,2015-08,2015,8,0
,Border - Total,True,2015-08,2015,8,450
Newfoundland and Labrador,Inland,False,2015-08,2015,8,0
Prince Edward Island,Inland,False,2015-08,2015,8,0
Nova Scotia,Inland,False,2015-08,2015,8,5
New Brunswick,Inland,False,2015-08,2015,8,0
Quebec,Inland,False,2015-08,2015,8,140
Ontario,Inland,False,2015-08,2015,8,455
Manitoba,Inland,False,2015-08,2015,8,10
Saskatchewan,Inland,False,2015-08,2015,8,5
Alberta,Inland,False,2015-08,2015,8,70
British Columbia,Inland,False,2015-08,2015,8,35
Yukon,Inland,False,2015-08,2015,8,0
Northwest Territories,Inland,False,2015-08,2015,8,0
Nunavut,Inland,False,2015-08,2015,8,0
Province/Territory of claim not stated,Inland,False,2015-08,2015,8,0
,Inland - Total,True,2015-08,2015,8,720
,Other Offices,False,2015-08,2015,8,0
,Total ,True,2015-08,2015,8,1300
Newfoundland and Labrador,Airport,False,2015-09,2015,9,0
Nova Scotia,Airport,False,2015-09,2015,9,0
New Brunswick,Airport,False,2015-09,2015,9,0
Quebec,Airport,False,2015-09,2015,9,30
Ontario,Airport,False,2015-09,2015,9,135
Manitoba,Airport,False,2015-09,2015,9,0
Saskatchewan,Airport,False,2015-09,2015,9,0
Alberta,Airport,False,2015-09,2015,9,0
British Columbia,Airport,False,2015-09,2015,9,5
Nunavut,Airport,False,2015-09,2015,9,0
,Airport - Total,True,2015-09,2015,9,170
