province_territory,claim_office_type,total_flag,year_month,year,month,value
Northwest Territories,Inland,False,2020-07,2020,7,0
Nunavut,Inland,False,2020-07,2020,7,0
Province/Territory of claim not stated,Inland,False,2020-07,2020,7,0
,Inland - Total,True,2020-07,2020,7,635
,Other Offices,False,2020-07,2020,7,2
,Total ,True,2020-07,2020,7,895
Newfoundland and Labrador,Airport,False,2020-08,2020,8,0
Nova Scotia,Airport,False,2020-08,2020,8,0
New Brunswick,Airport,False,2020-08,2020,8,0
Quebec,Airport,False,2020-08,2020,8,15
Ontario,Airport,False,2020-08,2020,8,25
Manitoba,Airport,False,2020-08,2020,8,0
Saskatchewan,Airport,False,2020-08,2020,8,0
Alberta,Airport,False,2020-08,2020,8,0
British Columbia,Airport,False,2020-08,2020,8,0
Nunavut,Airport,False,2020-08,2020,8,0
,Airport - Total,True,2020-08,2020,8,40
Newfoundland and Labrador,Border,False,2020-08,2020,8,0
Nova Scotia,Border,False,2020-08,2020,8,0
New Brunswick,Border,False,2020-08,2020,8,0
Quebec,Border,False,2020-08,2020,8,120
Ontario,Border,False,2020-08,2020,8,100
Manitoba,Border,False,2020-08,2020,8,2
Saskatchewan,Border,False,2020-08,2020,8,0
Alberta,Border,False,2020-08,2020,8,2
British Columbia,Border,False,2020-08,2020,8,15
Yukon,Border,False,2020-08,2020,8,0
,Border - Total,True,2020-08,2020,8,240
Newfoundland and Labrador,Inland,False,2020-08,2020,8,2
Prince Edward Island,Inland,False,2020-08,2020,8,0
Nova Scotia,Inland,False,2020-08,2020,8,0
New Brunswick,Inland,False,2020-08,2020,8,2
Quebec,Inland,False,2020-08,2020,8,245
Ontario,Inland,False,2020-08,2020,8,365
Manitoba,Inland,False,2020-08,2020,8,5
Saskatchewan,Inland,False,2020-08,2020,8,2
Alberta,Inland,False,2020-08,2020,8,40
British Columbia,Inland,False,2020-08,2020,8,90
Yukon,Inland,False,2020-08,2020,8,0
Northwest Territories,Inland,False,2020-08,2020,8,0
Nunavut,Inland,False,2020-08,2020,8,0
Province/Territory of claim not stated,Inland,False,2020-08,2020,8,0
,Inland - Total,True,2020-08,2020,8,750
,Other Offices,False,2020-08,2020,8,0
,Total ,True,2020-08,2020,8,1030
Newfoundland and Labrador,Airport,False,2020-09,2020,9,0
Nova Scotia,Airport,False,2020-09,2020,9,0
New Brunswick,Airport,False,2020-09,2020,9,0
Quebec,Airport,False,2020-09,2020,9,2
Ontario,Airport,False,2020-09,2020,9,15
Manitoba,Airport,False,2020-09,2020,9,0
Saskatchewan,Airport,False,2020-09,2020,9,0
Alberta,Airport,False,2020-09,2020,9,0
British Columbia,Airport,False,2020-09,2020,9,2
Nunavut,Airport,False,2020-09,2020,9,0
,Airport - Total,True,2020-09,2020,9,25
Newfoundland and Labrador,Border,False,2020-09,2020,9,0
Nova Scotia,Border,False,2020-09,2020,9,0
New Brunswick,Border,False,2020-09,2020,9,0
Quebec,Border,False,2020-09,2020,9,100
Ontario,Border,False,2020-09,2020,9,125
Manitoba,Border,False,2020-09,2020,9,2
Saskatchewan,Border,False,2020-09,2020,9,2
Alberta,Border,False,2020-09,2020,9,5
British Columbia,Border,False,2020-09,2020,9,15
Yukon,Border,False,2020-09,2020,9,0
,Border - Total,True,2020-09,2020,9,250
Newfoundland and Labrador,Inland,False,2020-09,2020,9,2
Prince Edward Island,Inland,False,2020-09,2020,9,2
Nova Scotia,Inland,False,2020-09,2020,9,0
New Brunswick,Inland,False,2020-09,2020,9,2
Quebec,Inland,False,2020-09,2020,9,340
Ontario,Inland,False,2020-09,2020,9,420
Manitoba,Inland,False,2020-09,2020,9,5
Saskatchewan,Inland,False,2020-09,2020,9,0
Alberta,Inland,False,2020-09,2020,9,45
British Columbia,Inland,False,2020-09,2020,9,110
Yukon,Inland,False,2020-09,2020,9,0
Northwest Territories,Inland,False,2020-09,2020,9,0
Nunavut,Inland,False,2020-09,2020,9,0
Province/Territory of claim not stated,Inland,False,2020-09,2020,9,0
,Inland - Total,True,2020-09,2020,9,925
,Other Offices,False,2020-09,2020,9,2
,Total ,True,2020-09,2020,9,1205
Newfoundland and Labrador,Airport,False,2020-10,2020,10,0
Nova Scotia,Airport,False,2020-10,2020,10,0
New Brunswick,Airport,False,2020-10,2020,10,0
Quebec,Airport,False,2020-10,2020,10,10
Ontario,Airport,False,2020-10,2020,10,20
Manitoba,Airport,False,2020-10,2020,10,0
Saskatchewan,Airport,False,2020-10,2020,10,0
Alberta,Airport,False,2020-10,2020,10,0
British Columbia,Airport,False,2020-10,2020,10,0
Nunavut,Airport,False,2020-10,2020,10,0
,Airport - Total,True,2020-10,2020,10,30
Newfoundland and Labrador,Border,False,2020-10,2020,10,0
Nova Scotia,Border,False,2020-10,2020,10,0
New Brunswick,Border,False,2020-10,2020,10,2
Quebec,Border,False,2020-10,2020,10,135
Ontario,Border,False,2020-10,2020,10,140
Manitoba,Border,False,2020-10,2020,10,0
Saskatchewan,Border,False,2020-10,2020,10,0
Alberta,Border,False,2020-10,2020,10,10
British Columbia,Border,False,2020-10,2020,10,25
Yukon,Border,False,2020-10,2020,10,0
,Border - Total,True,2020-10,2020,10,320
Newfoundland and Labrador,Inland,False,2020-10,2020,10,0
Prince Edward Island,Inland,False,2020-10,2020,10,2
Nova Scotia,Inland,False,2020-10,2020,10,2
New Brunswick,Inland,False,2020-10,2020,10,0
Quebec,Inland,False,2020-10,2020,10,275
Ontario,Inland,False,2020-10,2020,10,490
Manitoba,Inland,False,2020-10,2020,10,10
Saskatchewan,Inland,False,2020-10,2020,10,5
Alberta,Inland,False,2020-10,2020,10,35
British Columbia,Inland,False,2020-10,2020,10,120
Yukon,Inland,False,2020-10,2020,10,0
Northwest Territories,Inland,False,2020-10,2020,10,0
Nunavut,Inland,False,2020-10,2020,10,0
Province/Territory of claim not stated,Inland,False,2020-10,2020,10,0
,Inland - Total,True,2020-10,2020,10,940
,Other Offices,False,2020-10,2020,10,0
,Total ,True,2020-10,2020,10,1290
Newfoundland and Labrador,Airport,False,2020-11,2020,11,0
Nova Scotia,Airport,False,2020-11,2020,11,0
New Brunswick,Airport,False,2020-11,2020,11,0
Quebec,Airport,False,2020-11,2020,11,15
Ontario,Airport,False,2020-11,2020,11,30
Manitoba,Airport,False,2020-11,2020,11,0
Saskatchewan,Airport,False,2020-11,2020,11,0
Alberta,Airport,False,2020-11,2020,11,0
British Columbia,Airport,False,2020-11,2020,11,2
Nunavut,Airport,False,2020-11,2020,11,0
,Airport - Total,True,2020-11,2020,11,45
Newfoundland and Labrador,Border,False,2020-11,2020,11,0
Nova Scotia,Border,False,2020-11,2020,11,0
New Brunswick,Border,False,2020-11,2020,11,0
Quebec,Border,False,2020-11,2020,11,95
Ontario,Border,False,2020-11,2020,11,125
Manitoba,Border,False,2020-11,2020,11,2
Saskatchewan,Border,False,2020-11,2020,11,0
Alberta,Border,False,2020-11,2020,11,5
British Columbia,Border,False,2020-11,2020,11,10
Yukon,Border,False,2020-11,2020,11,0
,Border - Total,True,2020-11,2020,11,245
Newfoundland and Labrador,Inland,False,2020-11,2020,11,2
Prince Edward Island,Inland,False,2020-11,2020,11,2
Nova Scotia,Inland,False,2020-11,2020,11,0
New Brunswick,Inland,False,2020-11,2020,11,2
Quebec,Inland,False,2020-11,2020,11,315
Ontario,Inland,False,2020-11,2020,11,485
Manitoba,Inland,False,2020-11,2020,11,10
Saskatchewan,Inland,False,2020-11,2020,11,2
Alberta,Inland,False,2020-11,2020,11,65
British Columbia,Inland,False,2020-11,2020,11,140
Yukon,Inland,False,2020-11,2020,11,0
Northwest Territories,Inland,False,2020-11,2020,11,0
Nunavut,Inland,False,2020-11,2020,11,0
Province/Territory of claim not stated,Inland,False,2020-11,2020,11,0
,Inland - Total,True,2020-11,2020,11,1025
,Other Offices,False,2020-11,2020,11,0
,Total ,True,2020-11,2020,11,1310
Newfoundland and Labrador,Airport,False,2020-12,2020,12,0
Nova Scotia,Airport,False,2020-12,2020,12,0
New Brunswick,Airport,False,2020-12,2020,12,0
Quebec,Airport,False,2020-12,2020,12,35
Ontario,Airport,False,2020-12,2020,12,30
Manitoba,Airport,False,2020-12,2020,12,0
Saskatchewan,Airport,False,2020-12,2020,12,0
Alberta,Airport,False,2020-12,2020,12,2
British Columbia,Airport,False,2020-12,2020,12,0
Nunavut,Airport,False,2020-12,2020,12,0
,Airport - Total,True,2020-12,2020,12,70
Newfoundland and Labrador,Border,False,2020-12,2020,12,0
Nova Scotia,Border,False,2020-12,2020,12,0
New Brunswick,Border,False,2020-12,2020,12,0
Quebec,Border,False,2020-12,2020,12,170
Ontario,Border,False,2020-12,2020,12,135
Manitoba,Border,False,2020-12,2020,12,2
Saskatchewan,Border,False,2020-12,2020,12,0
Alberta,Border,False,2020-12,2020,12,15
British Columbia,Border,False,2020-12,2020,12,15
Yukon,Border,False,2020-12,2020,12,0
,Border - Total,True,2020-12,2020,12,330
Newfoundland and Labrador,Inland,False,2020-12,2020,12,2
Prince Edward Island,Inland,False,2020-12,2020,12,0
Nova Scotia,Inland,False,2020-12,2020,12,10
New Brunswick,Inland,False,2020-12,2020,12,0
Quebec,Inland,False,2020-12,2020,12,235
Ontario,Inland,False,2020-12,2020,12,440
Manitoba,Inland,False,2020-12,2020,12,10
Saskatchewan,Inland,False,2020-12,2020,12,2
Alberta,Inland,False,2020-12,2020,12,45
British Columbia,Inland,False,2020-12,2020,12,95
Yukon,Inland,False,2020-12,2020,12,0
Northwest Territories,Inland,False,2020-12,2020,12,0
Nunavut,Inland,False,2020-12,2020,12,0
Province/Territory of claim not stated,Inland,False,2020-12,2020,12,0
,Inland - Total,True,2020-12,2020,12,835
,Other Offices,False,2020-12,2020,12,2
,Total ,True,2020-12,2020,12,1240
Newfoundland and Labrador,Airport,False,2021-01,2021,1,0
Nova Scotia,Airport,False,2021-01,2021,1,0
New Brunswick,Airport,False,2021-01,2021,1,0
Quebec,Airport,False,2021-01,2021,1,20
Ontario,Airport,False,2021-01,2021,1,45
Manitoba,Airport,False,2021-01,2021,1,0
Saskatchewan,Airport,False,2021-01,2021,1,0
Alberta,Airport,False,2021-01,2021,1,2
British Columbia,Airport,False,2021-01,2021,1,2
Nunavut,Airport,False,2021-01,2021,1,0
,Airport - Total,True,2021-01,2021,1,70
Newfoundland and Labrador,Border,False,2021-01,2021,1,0
Nova Scotia,Border,False,2021-01,2021,1,0
New Brunswick,Border,False,2021-01,2021,1,2
Quebec,Border,False,2021-01,2021,1,95
Ontario,Border,False,2021-01,2021,1,135
Manitoba,Border,False,2021-01,2021,1,0
Saskatchewan,Border,False,2021-01,2021,1,0
Alberta,Border,False,2021-01,2021,1,2
British Columbia,Border,False,2021-01,2021,1,15
Yukon,Border,False,2021-01,2021,1,0
,Border - Total,True,2021-01,2021,1,255
Newfoundland and Labrador,Inland,False,2021-01,2021,1,2
Prince Edward Island,Inland,False,2021-01,2021,1,0
Nova Scotia,Inland,False,2021-01,2021,1,2
New Brunswick,Inland,False,2021-01,2021,1,5
Quebec,Inland,False,2021-01,2021,1,215
Ontario,Inland,False,2021-01,2021,1,445
Manitoba,Inland,False,2021-01,2021,1,2
Saskatchewan,Inland,False,2021-01,2021,1,5
Alberta,Inland,False,2021-01,2021,1,65
British Columbia,Inland,False,2021-01,2021,1,125
Yukon,Inland,False,2021-01,2021,1,0
Northwest Territories,Inland,False,2021-01,2021,1,0
Nunavut,Inland,False,2021-01,2021,1,0
Province/Territory of claim not stated,Inland,False,2021-01,2021,1,0
,Inland - Total,True,2021-01,2021,1,865
,Other Offices,False,2021-01,2021,1,2
,Total ,True,2021-01,2021,1,1195
Newfoundland and Labrador,Airport,False,2021-02,2021,2,0
Nova Scotia,Airport,False,2021-02,2021,2,0
New Brunswick,Airport,False,2021-02,2021,2,0
Quebec,Airport,False,2021-02,2021,2,15
Ontario,Airport,False,2021-02,2021,2,30
Manitoba,Airport,False,2021-02,2021,2,0
Saskatchewan,Airport,False,2021-02,2021,2,0
Alberta,Airport,False,2021-02,2021,2,2
British Columbia,Airport,False,2021-02,2021,2,2
Nunavut,Airport,False,2021-02,2021,2,0
,Airport - Total,True,2021-02,2021,2,45
Newfoundland and Labrador,Border,False,2021-02,2021,2,0
Nova Scotia,Border,False,2021-02,2021,2,0
New Brunswick,Border,False,2021-02,2021,2,0
Quebec,Border,False,2021-02,2021,2,100
Ontario,Border,False,2021-02,2021,2,115
Manitoba,Border,False,2021-02,2021,2,0
Saskatchewan,Border,False,2021-02,2021,2,2
Alberta,Border,False,2021-02,2021,2,10
British Columbia,Border,False,2021-02,2021,2,10
Yukon,Border,False,2021-02,2021,2,0
,Border - Total,True,2021-02,2021,2,235
Newfoundland and Labrador,Inland,False,2021-02,2021,2,0
Prince Edward Island,Inland,False,2021-02,2021,2,0
Nova Scotia,Inland,False,2021-02,2021,2,2
New Brunswick,Inland,False,2021-02,2021,2,2
Quebec,Inland,False,2021-02,2021,2,205
Ontario,Inland,False,2021-02,2021,2,485
Manitoba,Inland,False,2021-02,2021,2,10
Saskatchewan,Inland,False,2021-02,2021,2,2
Alberta,Inland,False,2021-02,2021,2,40
British Columbia,Inland,False,2021-02,2021,2,95
Yukon,Inland,False,2021-02,2021,2,0
Northwest Territories,Inland,False,2021-02,2021,2,0
Nunavut,Inland,False,2021-02,2021,2,0
Province/Territory of claim not stated,Inland,False,2021-02,2021,2,0
,Inland - Total,True,2021-02,2021,2,840
,Other Offices,False,2021-02,2021,2,0
,Total ,True,2021-02,2021,2,1120
Newfoundland and Labrador,Airport,False,2021-03,2021,3,0
Nova Scotia,Airport,False,2021-03,2021,3,0
New Brunswick,Airport,False,2021-03,2021,3,0
Quebec,Airport,False,2021-03,2021,3,15
Ontario,Airport,False,2021-03,2021,3,20
Manitoba,Airport,False,2021-03,2021,3,0
Saskatchewan,Airport,False,2021-03,2021,3,0
Alberta,Airport,False,2021-03,2021,3,0
British Columbia,Airport,False,2021-03,2021,3,2
Nunavut,Airport,False,2021-03,2021,3,0
,Airport - Total,True,2021-03,2021,3,35
Newfoundland and Labrador,Border,False,2021-03,2021,3,0
Nova Scotia,Border,False,2021-03,2021,3,0
New Brunswick,Border,False,2021-03,2021,3,0
Quebec,Border,False,2021-03,2021,3,65
Ontario,Border,False,2021-03,2021,3,95
Manitoba,Border,False,2021-03,2021,3,2
Saskatchewan,Border,False,2021-03,2021,3,0
Alberta,Border,False,2021-03,2021,3,25
British Columbia,Border,False,2021-03,2021,3,10
Yukon,Border,False,2021-03,2021,3,0
,Border - Total,True,2021-03,2021,3,195
Newfoundland and Labrador,Inland,False,2021-03,2021,3,2
Prince Edward Island,Inland,False,2021-03,2021,3,2
Nova Scotia,Inland,False,2021-03,2021,3,5
New Brunswick,Inland,False,2021-03,2021,3,2
Quebec,Inland,False,2021-03,2021,3,270
Ontario,Inland,False,2021-03,2021,3,550
Manitoba,Inland,False,2021-03,2021,3,2
Saskatchewan,Inland,False,2021-03,2021,3,2
Alberta,Inland,False,2021-03,2021,3,65
British Columbia,Inland,False,2021-03,2021,3,125
Yukon,Inland,False,2021-03,2021,3,0
Northwest Territories,Inland,False,2021-03,2021,3,0
Nunavut,Inland,False,2021-03,2021,3,0
Province/Territory of claim not stated,Inland,False,2021-03,2021,3,0
,Inland - Total,True,2021-03,2021,3,1020
,Other Offices,False,2021-03,2021,3,2
,Total ,True,2021-03,2021,3,1255
Newfoundland and Labrador,Airport,False,2021-04,2021,4,0
Nova Scotia,Airport,False,2021-04,2021,4,2
New Brunswick,Airport,False,2021-04,2021,4,0
Quebec,Airport,False,2021-04,2021,4,10
Ontario,Airport,False,2021-04,2021,4,40
Manitoba,Airport,False,2021-04,2021,4,0
Saskatchewan,Airport,False,2021-04,2021,4,0
Alberta,Airport,False,2021-04,2021,4,0
British Columbia,Airport,False,2021-04,2021,4,0
Nunavut,Airport,False,2021-04,2021,4,0
,Airport - Total,True,2021-04,2021,4,50
Newfoundland and Labrador,Border,False,2021-04,2021,4,0
Nova Scotia,Border,False,2021-04,2021,4,0
New Brunswick,Border,False,2021-04,2021,4,0
Quebec,Border,False,2021-04,2021,4,95
Ontario,Border,False,2021-04,2021,4,110
Manitoba,Border,False,2021-04,2021,4,2
Saskatchewan,Border,False,2021-04,2021,4,2
Alberta,Border,False,2021-04,2021,4,5
British Columbia,Border,False,2021-04,2021,4,20
Yukon,Border,False,2021-04,2021,4,0
,Border - Total,True,2021-04,2021,4,230
Newfoundland and Labrador,Inland,False,2021-04,2021,4,0
Prince Edward Island,Inland,False,2021-04,2021,4,0
Nova Scotia,Inland,False,2021-04,2021,4,2
New Brunswick,Inland,False,2021-04,2021,4,0
Quebec,Inland,False,2021-04,2021,4,180
Ontario,Inland,False,2021-04,2021,4,465
Manitoba,Inland,False,2021-04,2021,4,5
Saskatchewan,Inland,False,2021-04,2021,4,5
Alberta,Inland,False,2021-04,2021,4,60
British Columbia,Inland,False,2021-04,2021,4,100
Yukon,Inland,False,2021-04,2021,4,0
Northwest Territories,Inland,False,2021-04,2021,4,0
Nunavut,Inland,False,2021-04,2021,4,0
Province/Territory of claim not stated,Inland,False,2021-04,2021,4,0
,Inland - Total,True,2021-04,2021,4,820
,Other Offices,False,2021-04,2021,4,2
,Total ,True,2021-04,2021,4,1100
Newfoundland and Labrador,Airport,False,2021-05,2021,5,0
Nova Scotia,Airport,False,2021-05,2021,5,0
New Brunswick,Airport,False,2021-05,2021,5,0
Quebec,Airport,False,2021-05,2021,5,15
Ontario,Airport,False,2021-05,2021,5,35
Manitoba,Airport,False,2021-05,2021,5,0
Saskatchewan,Airport,False,2021-05,2021,5,0
Alberta,Airport,False,2021-05,2021,5,2
British Columbia,Airport,False,2021-05,2021,5,2
Nunavut,Airport,False,2021-05,2021,5,0
,Airport - Total,True,2021-05,2021,5,55
Newfoundland and Labrador,Border,False,2021-05,2021,5,0
Nova Scotia,Border,False,2021-05,2021,5,0
New Brunswick,Border,False,2021-05,2021,5,2
Quebec,Border,False,2021-05,2021,5,100
Ontario,Border,False,2021-05,2021,5,120
Manitoba,Border,False,2021-05,2021,5,2
Saskatchewan,Border,False,2021-05,2021,5,0
Alberta,Border,False,2021-05,2021,5,2
British Columbia,Border,False,2021-05,2021,5,20
Yukon,Border,False,2021-05,2021,5,0
,Border - Total,True,2021-05,2021,5,245
Newfoundland and Labrador,Inland,False,2021-05,2021,5,2
Prince Edward Island,Inland,False,2021-05,2021,5,0
Nova Scotia,Inland,False,2021-05,2021,5,2
New Brunswick,Inland,False,2021-05,2021,5,2
Quebec,Inland,False,2021-05,2021,5,200
Ontario,Inland,False,2021-05,2021,5,475
Manitoba,Inland,False,2021-05,2021,5,5
Saskatchewan,Inland,False,2021-05,2021,5,2
Alberta,Inland,False,2021-05,2021,5,45
British Columbia,Inland,False,2021-05,2021,5,115
Yukon,Inland,False,2021-05,2021,5,0
Northwest Territories,Inland,False,2021-05,2021,5,0
Nunavut,Inland,False,2021-05,2021,5,0
Province/Territory of claim not stated,Inland,False,2021-05,2021,5,0
,Inland - Total,True,2021-05,2021,5,845
,Other Offices,False,2021-05,2021,5,5
,Total ,True,2021-05,2021,5,1150
Newfoundland and Labrador,Airport,False,2021-06,2021,6,0
Nova Scotia,Airport,False,2021-06,2021,6,0
New Brunswick,Airport,False,2021-06,2021,6,0
Quebec,Airport,False,2021-06,2021,6,10
Ontario,Airport,False,2021-06,2021,6,35
Manitoba,Airport,False,2021-06,2021,6,0
Saskatchewan,Airport,False,2021-06,2021,6,0
Alberta,Airport,False,2021-06,2021,6,0
British Columbia,Airport,False,2021-06,2021,6,10
Nunavut,Airport,False,2021-06,2021,6,0
,Airport - Total,True,2021-06,2021,6,55
Newfoundland and Labrador,Border,False,2021-06,2021,6,0
Nova Scotia,Border,False,2021-06,2021,6,0
New Brunswick,Border,False,2021-06,2021,6,0
Quebec,Border,False,2021-06,2021,6,110
Ontario,Border,False,2021-06,2021,6,135
Manitoba,Border,False,2021-06,2021,6,2
Saskatchewan,Border,False,2021-06,2021,6,2
Alberta,Border,False,2021-06,2021,6,10
British Columbia,Border,False,2021-06,2021,6,20
Yukon,Border,False,2021-06,2021,6,0
,Border - Total,True,2021-06,2021,6,280
Newfoundland and Labrador,Inland,False,2021-06,2021,6,2
Prince Edward Island,Inland,False,2021-06,2021,6,0
Nova Scotia,Inland,False,2021-06,2021,6,2
New Brunswick,Inland,False,2021-06,2021,6,2
Quebec,Inland,False,2021-06,2021,6,155
Ontario,Inland,False,2021-06,2021,6,460
Manitoba,Inland,False,2021-06,2021,6,5
Saskatchewan,Inland,False,2021-06,2021,6,2
Alberta,Inland,False,2021-06,2021,6,30
British Columbia,Inland,False,2021-06,2021,6,110
Yukon,Inland,False,2021-06,2021,6,0
Northwest Territories,Inland,False,2021-06,2021,6,0
Nunavut,Inland,False,2021-06,2021,6,0
Province/Territory of claim not stated,Inland,False,2021-06,2021,6,0
,Inland - Total,True,2021-06,2021,6,770
,Other Offices,False,2021-06,2021,6,2
,Total ,True,2021-06,2021,6,1105
Newfoundland and Labrador,Airport,False,2021-07,2021,7,0
Nova Scotia,Airport,False,2021-07,2021,7,0
New Brunswick,Airport,False,2021-07,2021,7,0
Quebec,Airport,False,2021-07,2021,7,30
Ontario,Airport,False,2021-07,2021,7,30
Manitoba,Airport,False,2021-07,2021,7,0
Saskatchewan,Airport,False,2021-07,2021,7,0
Alberta,Airport,False,2021-07,2021,7,2
British Columbia,Airport,False,2021-07,2021,7,10
Nunavut,Airport,False,2021-07,2021,7,0
,Airport - Total,True,2021-07,2021,7,75
Newfoundland and Labrador,Border,False,2021-07,2021,7,0
Nova Scotia,Border,False,2021-07,2021,7,0
New Brunswick,Border,False,2021-07,2021,7,2
Quebec,Border,False,2021-07,2021,7,140
Ontario,Border,False,2021-07,2021,7,195
Manitoba,Border,False,2021-07,2021,7,5
Saskatchewan,Border,False,2021-07,2021,7,2
Alberta,Border,False,2021-07,2021,7,25
British Columbia,Border,False,2021-07,2021,7,15
Yukon,Border,False,2021-07,2021,7,0
,Border - Total,True,2021-07,2021,7,380
Newfoundland and Labrador,Inland,False,2021-07,2021,7,0
Prince Edward Island,Inland,False,2021-07,2021,7,2
Nova Scotia,Inland,False,2021-07,2021,7,0
New Brunswick,Inland,False,2021-07,2021,7,0
Quebec,Inland,False,2021-07,2021,7,155
Ontario,Inland,False,2021-07,2021,7,460
Manitoba,Inland,False,2021-07,2021,7,5
Saskatchewan,Inland,False,2021-07,2021,7,5
Alberta,Inland,False,2021-07,2021,7,40
British Columbia,Inland,False,2021-07,2021,7,95
Yukon,Inland,False,2021-07,2021,7,0
Northwest Territories,Inland,False,2021-07,2021,7,0
Nunavut,Inland,False,2021-07,2021,7,0
Province/Territory of claim not stated,Inland,False,2021-07,2021,7,0
,Inland - Total,True,2021-07,2021,7,770
,Other Offices,False,2021-07,2021,7,2
,Total ,True,2021-07,2021,7,1225
Newfoundland and Labrador,Airport,False,2021-08,2021,8,0
Nova Scotia,Airport,False,2021-08,2021,8,0
New Brunswick,Airport,False,2021-08,2021,8,0
Quebec,Airport,False,2021-08,2021,8,45
Ontario,Airport,False,2021-08,2021,8,65
Manitoba,Airport,False,2021-08,2021,8,0
Saskatchewan,Airport,False,2021-08,2021,8,0
Alberta,Airport,False,2021-08,2021,8,0
British Columbia,Airport,False,2021-08,2021,8,5
Nunavut,Airport,False,2021-08,2021,8,0
,Airport - Total,True,2021-08,2021,8,120
Newfoundland and Labrador,Border,False,2021-08,2021,8,0
Nova Scotia,Border,False,2021-08,2021,8,0
New Brunswick,Border,False,2021-08,2021,8,0
Quebec,Border,False,2021-08,2021,8,295
Ontario,Border,False,2021-08,2021,8,285
Manitoba,Border,False,2021-08,2021,8,2
Saskatchewan,Border,False,2021-08,2021,8,0
Alberta,Border,False,2021-08,2021,8,10
British Columbia,Border,False,2021-08,2021,8,40
Yukon,Border,False,2021-08,2021,8,0
,Border - Total,True,2021-08,2021,8,630
Newfoundland and Labrador,Inland,False,2021-08,2021,8,0
Prince Edward Island,Inland,False,2021-08,2021,8,0
Nova Scotia,Inland,False,2021-08,2021,8,2
New Brunswick,Inland,False,2021-08,2021,8,2
Quebec,Inland,False,2021-08,2021,8,170
Ontario,Inland,False,2021-08,2021,8,405
Manitoba,Inland,False,2021-08,2021,8,2
Saskatchewan,Inland,False,2021-08,2021,8,2
Alberta,Inland,False,2021-08,2021,8,35
British Columbia,Inland,False,2021-08,2021,8,85
Yukon,Inland,False,2021-08,2021,8,0
Northwest Territories,Inland,False,2021-08,2021,8,0
Nunavut,Inland,False,2021-08,2021,8,0
Province/Territory of claim not stated,Inland,False,2021-08,2021,8,0
,Inland - Total,True,2021-08,2021,8,695
,Other Offices,False,2021-08,2021,8,2
,Total ,True,2021-08,2021,8,1450
Newfoundland and Labrador,Airport,False,2021-09,2021,9,0
Nova Scotia,Airport,False,2021-09,2021,9,0
New Brunswick,Airport,False,2021-09,2021,9,0
Quebec,Airport,False,2021-09,2021,9,170
Ontario,Airport,False,2021-09,2021,9,255
Manitoba,Airport,False,2021-09,2021,9,0
Saskatchewan,Airport,False,2021-09,2021,9,0
Alberta,Airport,False,2021-09,2021,9,2
British Columbia,Airport,False,2021-09,2021,9,10
Nunavut,Airport,False,2021-09,2021,9,0
,Airport - Total,True,2021-09,2021,9,435
Newfoundland and Labrador,Border,False,2021-09,2021,9,0
Nova Scotia,Border,False,2021-09,2021,9,0
New Brunswick,Border,False,2021-09,2021,9,5
Quebec,Border,False,2021-09,2021,9,370
Ontario,Border,False,2021-09,2021,9,510
Manitoba,Border,False,2021-09,2021,9,2
Saskatchewan,Border,False,2021-09,2021,9,0
Alberta,Border,False,2021-09,2021,9,15
British Columbia,Border,False,2021-09,2021,9,40
Yukon,Border,False,2021-09,2021,9,0
,Border - Total,True,2021-09,2021,9,950
Newfoundland and Labrador,Inland,False,2021-09,2021,9,0
Prince Edward Island,Inland,False,2021-09,2021,9,5
Nova Scotia,Inland,False,2021-09,2021,9,5
New Brunswick,Inland,False,2021-09,2021,9,0
Quebec,Inland,False,2021-09,2021,9,200
Ontario,Inland,False,2021-09,2021,9,570
Manitoba,Inland,False,2021-09,2021,9,2
Saskatchewan,Inland,False,2021-09,2021,9,5
Alberta,Inland,False,2021-09,2021,9,35
British Columbia,Inland,False,2021-09,2021,9,95
Yukon,Inland,False,2021-09,2021,9,0
Northwest Territories,Inland,False,2021-09,2021,9,0
Nunavut,Inland,False,2021-09,2021,9,0
Province/Territory of claim not stated,Inland,False,2021-09,2021,9,0
,Inland - Total,True,2021-09,2021,9,920
,Other Offices,False,2021-09,2021,9,0
,Total ,True,2021-09,2021,9,2305
Newfoundland and Labrador,Airport,False,2021-10,2021,10,0
Nova Scotia,Airport,False,2021-10,2021,10,0
New Brunswick,Airport,False,2021-10,2021,10,0
Quebec,Airport,False,2021-10,2021,10,370
Ontario,Airport,False,2021-10,2021,10,300
Manitoba,Airport,False,2021-10,2021,10,0
Saskatchewan,Airport,False,2021-10,2021,10,0
Alberta,Airport,False,2021-10,2021,10,10
British Columbia,Airport,False,2021-10,2021,10,20
Nunavut,Airport,False,2021-10,2021,10,0
,Airport - Total,True,2021-10,2021,10,695
Newfoundland and Labrador,Border,False,2021-10,2021,10,0
Nova Scotia,Border,False,2021-10,2021,10,0
New Brunswick,Border,False,2021-10,2021,10,0
Quebec,Border,False,2021-10,2021,10,395
Ontario,Border,False,2021-10,2021,10,375
Manitoba,Border,False,2021-10,2021,10,2
Saskatchewan,Border,False,2021-10,2021,10,2
Alberta,Border,False,2021-10,2021,10,25
British Columbia,Border,False,2021-10,2021,10,35
Yukon,Border,False,2021-10,2021,10,0
,Border - Total,True,2021-10,2021,10,835
Newfoundland and Labrador,Inland,False,2021-10,2021,10,2
