province_territory,category_1,category_2,total_flag,year,value
Newfoundland and Labrador,Agricultural Workers,,True,2001,0
Newfoundland and Labrador,Other Temporary Foreign Workers with LMIA,,False,2001,480
Newfoundland and Labrador,Caregivers,,False,2001,0
Newfoundland and Labrador,,,True,2001,490
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Program,False,2001,0
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,
Prince Edward Island,Live-In Caregivers,,True,2001,
Prince Edward Island,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Prince Edward Island,Agricultural Workers,Agricultural Stream,False,2001,0
Prince Edward Island,Agricultural Workers,Other Agricultural Workers,False,2001,0
Prince Edward Island,Agricultural Workers,,True,2001,0
Prince Edward Island,Other Temporary Foreign Workers with LMIA,,False,2001,50
Prince Edward Island,Caregivers,,False,2001,0
Prince Edward Island,,,True,2001,50
Nova Scotia,Live-In Caregivers,Live-In Caregiver Program,False,2001,15
Nova Scotia,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2001,
Nova Scotia,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,
Nova Scotia,Live-In Caregivers,,True,2001,20
Nova Scotia,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Nova Scotia,Agricultural Workers,Agricultural Stream,False,2001,0
Nova Scotia,Agricultural Workers,Other Agricultural Workers,False,2001,
Nova Scotia,Agricultural Workers,,True,2001,
Nova Scotia,Other Temporary Foreign Workers with LMIA,,False,2001,645
Nova Scotia,Caregivers,,False,2001,0
Nova Scotia,,,True,2001,665
New Brunswick,Live-In Caregivers,Live-In Caregiver Program,False,2001,10
New Brunswick,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,
New Brunswick,Live-In Caregivers,,True,2001,10
New Brunswick,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
New Brunswick,Agricultural Workers,Agricultural Stream,False,2001,0
New Brunswick,Agricultural Workers,Other Agricultural Workers,False,2001,0
New Brunswick,Agricultural Workers,,True,2001,0
New Brunswick,Other Temporary Foreign Workers with LMIA,,False,2001,175
New Brunswick,Caregivers,,False,2001,0
New Brunswick,,,True,2001,185
Quebec,Live-In Caregivers,Live-In Caregiver Program,False,2001,650
Quebec,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2001,0
Quebec,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,170
Quebec,Live-In Caregivers,,True,2001,825
Quebec,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Quebec,Agricultural Workers,Agricultural Stream,False,2001,0
Quebec,Agricultural Workers,Other Agricultural Workers,False,2001,10
Quebec,Agricultural Workers,,True,2001,10
Quebec,Other Temporary Foreign Workers with LMIA,,False,2001,"2,615"
Quebec,Caregivers,,False,2001,0
Quebec,,,True,2001,"3,450"
Ontario,Live-In Caregivers,Live-In Caregiver Program,False,2001,"3,215"
Ontario,Live-In Caregivers,Emergency Live-In Caregiver Program Work Permit,False,2001,0
Ontario,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2001,
Ontario,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,510
Ontario,Live-In Caregivers,,True,2001,"3,725"
Ontario,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,15
Ontario,Agricultural Workers,Agricultural Stream,False,2001,0
Ontario,Agricultural Workers,Other Agricultural Workers,False,2001,65
Ontario,Agricultural Workers,,True,2001,85
Ontario,Other Temporary Foreign Workers with LMIA,,False,2001,"6,760"
Ontario,Caregivers,,False,2001,0
Ontario,,,True,2001,"10,570"
Manitoba,Live-In Caregivers,Live-In Caregiver Program,False,2001,80
Manitoba,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,10
Manitoba,Live-In Caregivers,,True,2001,90
Manitoba,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Manitoba,Agricultural Workers,Agricultural Stream,False,2001,0
Manitoba,Agricultural Workers,Other Agricultural Workers,False,2001,35
Manitoba,Agricultural Workers,,True,2001,35
Manitoba,Other Temporary Foreign Workers with LMIA,,False,2001,645
Manitoba,Caregivers,,False,2001,0
Manitoba,,,True,2001,765
Saskatchewan,Live-In Caregivers,Live-In Caregiver Program,False,2001,60
Saskatchewan,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,15
Saskatchewan,Live-In Caregivers,,True,2001,75
Saskatchewan,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Saskatchewan,Agricultural Workers,Agricultural Stream,False,2001,0
Saskatchewan,Agricultural Workers,Other Agricultural Workers,False,2001,50
Saskatchewan,Agricultural Workers,,True,2001,50
Saskatchewan,Other Temporary Foreign Workers with LMIA,,False,2001,495
Saskatchewan,Caregivers,,False,2001,0
Saskatchewan,,,True,2001,625
Alberta,Live-In Caregivers,Live-In Caregiver Program,False,2001,"1,145"
Alberta,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,130
Alberta,Live-In Caregivers,,True,2001,"1,275"
Alberta,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Alberta,Agricultural Workers,Agricultural Stream,False,2001,0
Alberta,Agricultural Workers,Other Agricultural Workers,False,2001,80
Alberta,Agricultural Workers,,True,2001,80
Alberta,Other Temporary Foreign Workers with LMIA,,False,2001,"2,605"
Alberta,Caregivers,,False,2001,0
Alberta,,,True,2001,"3,960"
British Columbia,Live-In Caregivers,Live-In Caregiver Program,False,2001,"1,675"
British Columbia,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,250
British Columbia,Live-In Caregivers,,True,2001,"1,920"
British Columbia,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
British Columbia,Agricultural Workers,Agricultural Stream,False,2001,0
British Columbia,Agricultural Workers,Other Agricultural Workers,False,2001,20
British Columbia,Agricultural Workers,,True,2001,20
British Columbia,Other Temporary Foreign Workers with LMIA,,False,2001,"3,280"
British Columbia,Caregivers,,False,2001,0
British Columbia,,,True,2001,"5,220"
Yukon,Live-In Caregivers,Live-In Caregiver Program,False,2001,5
Yukon,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,0
Yukon,Live-In Caregivers,,True,2001,5
Yukon,Agricultural Workers,Seasonal Agricultural Worker Program,False,2001,0
Yukon,Agricultural Workers,Other Agricultural Workers,False,2001,0
Yukon,Agricultural Workers,,True,2001,0
Yukon,Other Temporary Foreign Workers with LMIA,,False,2001,10
Yukon,Caregivers,,False,2001,0
Yukon,,,True,2001,15
Northwest Territories,Live-In Caregivers,Live-In Caregiver Program,False,2001,10
Northwest Territories,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,
Northwest Territories,Live-In Caregivers,,True,2001,15
Northwest Territories,Agricultural Workers,Agricultural Stream,False,2001,0
Northwest Territories,Agricultural Workers,Other Agricultural Workers,False,2001,
Northwest Territories,Agricultural Workers,,True,2001,
Northwest Territories,Other Temporary Foreign Workers with LMIA,,False,2001,115
Northwest Territories,Caregivers,,False,2001,0
Northwest Territories,,,True,2001,130
Nunavut,Live-In Caregivers,Live-In Caregiver Program,False,2001,
Nunavut,Live-In Caregivers,Live-In Caregiver Occupations,False,2001,0
Nunavut,Live-In Caregivers,,True,2001,
Nunavut,Agricultural Workers,Other Agricultural Workers,False,2001,0
Nunavut,Agricultural Workers,,True,2001,0
Nunavut,Other Temporary Foreign Workers with LMIA,,False,2001,5
Nunavut,Caregivers,,False,2001,0
Nunavut,,,True,2001,10
Province / Territory not stated,Not stated,,False,2001,0
Total,,,True,2001,"26,130"
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Program,False,2002,
Newfoundland and Labrador,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,
Newfoundland and Labrador,Live-In Caregivers,,True,2002,
Newfoundland and Labrador,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Newfoundland and Labrador,Agricultural Workers,Agricultural Stream,False,2002,0
Newfoundland and Labrador,Agricultural Workers,Other Agricultural Workers,False,2002,
Newfoundland and Labrador,Agricultural Workers,,True,2002,
Newfoundland and Labrador,Other Temporary Foreign Workers with LMIA,,False,2002,475
Newfoundland and Labrador,Caregivers,,False,2002,0
Newfoundland and Labrador,,,True,2002,480
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Program,False,2002,
Prince Edward Island,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,0
Prince Edward Island,Live-In Caregivers,,True,2002,
Prince Edward Island,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Prince Edward Island,Agricultural Workers,Agricultural Stream,False,2002,0
Prince Edward Island,Agricultural Workers,Other Agricultural Workers,False,2002,
Prince Edward Island,Agricultural Workers,,True,2002,
Prince Edward Island,Other Temporary Foreign Workers with LMIA,,False,2002,55
Prince Edward Island,Caregivers,,False,2002,0
Prince Edward Island,,,True,2002,60
Nova Scotia,Live-In Caregivers,Live-In Caregiver Program,False,2002,15
Nova Scotia,Live-In Caregivers,Validation exemption for persons admitted under the former foreign domestic program (FDM),False,2002,0
Nova Scotia,Live-In Caregivers,Live-In Caregiver Occupations,False,2002,
Nova Scotia,Live-In Caregivers,,True,2002,20
Nova Scotia,Agricultural Workers,Seasonal Agricultural Worker Program,False,2002,0
Nova Scotia,Agricultural Workers,Agricultural Stream,False,2002,0
Nova Scotia,Agricultural Workers,Other Agricultural Workers,False,2002,
Nova Scotia,Agricultural Workers,,True,2002,
Nova Scotia,Other Temporary Foreign Workers with LMIA,,False,2002,480
Nova Scotia,Caregivers,,False,2002,0
Nova Scotia,,,True,2002,500
